# 도서산간 우편번호 시드 — 출처: 택배사 공통 기준표(campaignus/imweb 게시본, 2026-07-20 확인)
# 원본 오탈자 보정 2건: '경남 통영 54000'→전북 군산 섬지역, '전남 신안 28826'→58826
# 연륙교 연결 지역은 미포함 — 목록에 없으면 일반 판정 (추가비 과청구 방지 원칙)
# 교차 검증 2026-07-20: 독립 출처(도매꾹 지역표) 표본 12개 중 11개 일치. 차이는 15654(대부도·연륙교)뿐 — 위 원칙과 일치
# 공식 단일 출처 부재 확인 (CJ·우체국 미공개). 택배사 계약 확정 시 해당 사 기준표로 최종 정렬 예정
zip_code,kind,region_name
52571,island,경남 사천 섬지역
53031,island,경남 통영 섬지역
53032,island,경남 통영 섬지역
53033,island,경남 통영 섬지역
53089,island,경남 통영 섬지역
53090,island,경남 통영 섬지역
53091,island,경남 통영 섬지역
53092,island,경남 통영 섬지역
53093,island,경남 통영 섬지역
53094,island,경남 통영 섬지역
53095,island,경남 통영 섬지역
53096,island,경남 통영 섬지역
53097,island,경남 통영 섬지역
53098,island,경남 통영 섬지역
53099,island,경남 통영 섬지역
53100,island,경남 통영 섬지역
53101,island,경남 통영 섬지역
53102,island,경남 통영 섬지역
53103,island,경남 통영 섬지역
53104,island,경남 통영 섬지역
54000,island,전북 군산 섬지역
56347,island,전북 부안 섬지역
56348,island,전북 부안 섬지역
56349,island,전북 부안 섬지역
57068,island,전남 영광 섬지역
57069,island,전남 영광 섬지역
58760,island,전남 목포 섬지역
58761,island,전남 목포 섬지역
58762,island,전남 목포 섬지역
58800,island,전남 신안 섬지역
58801,island,전남 신안 섬지역
58802,island,전남 신안 섬지역
58803,island,전남 신안 섬지역
58804,island,전남 신안 섬지역
58805,island,전남 신안 섬지역
58806,island,전남 신안 섬지역
58807,island,전남 신안 섬지역
58808,island,전남 신안 섬지역
58809,island,전남 신안 섬지역
58810,island,전남 신안 섬지역
58816,island,전남 신안 섬지역
58817,island,전남 신안 섬지역
58818,island,전남 신안 섬지역
58826,island,전남 신안 섬지역
58828,island,전남 신안 섬지역
58829,island,전남 신안 섬지역
58830,island,전남 신안 섬지역
58831,island,전남 신안 섬지역
58832,island,전남 신안 섬지역
58833,island,전남 신안 섬지역
58834,island,전남 신안 섬지역
58835,island,전남 신안 섬지역
58836,island,전남 신안 섬지역
58837,island,전남 신안 섬지역
58838,island,전남 신안 섬지역
